Company_Name,Emails,Phones,Website
https://boydsoftexas.com/products/tx-lavender-eau-de-parfum,['wholesale@boydsoftexas.com.'],[],https://boydsoftexas.com/products/tx-lavender-eau-de-parfum
https://cleopatraperfumes.com/,[],"['915-544-4320', '915-532-4944', '915-778-7050', '915-581-2148', '915-772-2011', '915-881-1933']",https://cleopatraperfumes.com/
https://www.bbheperfumeshouston.com/,[],[],https://www.bbheperfumeshouston.com/
https://www.thescentroom.com/,[],[],https://www.thescentroom.com/
https://www.jomalone.com/,[],['(866) 305 4706'],https://www.jomalone.com/
https://prestigeperfumestx.com/,[],[],https://prestigeperfumestx.com/
https://amiroud.com/,[],"['(469) 912-0806', '(469) 536-7383']",https://amiroud.com/
https://www.iff.com/,[],[],https://www.iff.com/
https://www.littlebrownhouseamarillo.com/results.cfm/c/17/s/969/Perfume-Bottles,[],[],https://www.littlebrownhouseamarillo.com/results.cfm/c/17/s/969/Perfume-Bottles
https://www.fragranceoutlet.com/,"['info@fragranceoutlet.comOur', 'customer.service@fragranceoutlet.com']","['(954) 442-5447', '(954) 442-5441', '7649871427', '(305) 654-8015', '(888) 919-6613', '3898543041']",https://www.fragranceoutlet.com/
https://xyrena.com/,[],[],https://xyrena.com/
https://www.hamidi.us/,['support@hamidi.us'],['(713) 893-5786'],https://www.hamidi.us/
https://krigler.com/,[],[],https://krigler.com/
https://www.scentandviolet.com/,['hello@scentandviolet.com'],"['(281) 761-6300', '281-761-6300']",https://www.scentandviolet.com/
https://www.simon.com/mall/midland-park-mall/stores/master-perfumes,['onlinesupport@shopsimon.com'],['(888) 605-2801'],https://www.simon.com/mall/midland-park-mall/stores/master-perfumes
https://www.zodicaperfumery.com/,"['hello@zodicaperfumery.comFlagship', 'hello@zodicaperfumery.com']","['608-424-2222', '(608) 424-2222']",https://www.zodicaperfumery.com/
https://www.caratsfj.com/jewelry/fragrances,[],['(956) 994-0970'],https://www.caratsfj.com/jewelry/fragrances
https://www.grapevinetexasusa.com/listing/elegance-perfume/450/,"['NRodriguez@GrapevineTexasUSA.com', 'RHernandez@GrapevineTexasUSA.com', 'BTorres@GrapevineTexasUSA.com', 'LSarmiento@GrapevineTexasUSA.com', 'BMault@GrapevineTexasUSA.com', 'CJarrell@GrapevineTexasUSA.com', 'SMehallic@GrapevineTexasUSA.com', 'SBaker@GrapevineTexasUSA.com', 'HEgan@GrapevineTexasUSA.com', 'VisitorInfo@GrapevineTexasUSA.com', 'KAdams@GrapevineTexasUSA.com', 'BRoberson@GrapevineTexasUSA.com', 'LPrice@GrapevineTexasUSA.com', 'DOBryan@GrapevineTexasUSA.com', 'PMcCage@GrapevineTexasUSA.com', 'KVanderpool@GrapevineTexasUSA.com', 'NSaenz@GrapevineTexasUSA.com', 'EStallcup@GrapevineTexasUSA.com', 'GLavery@GrapevineTexasUSA.com', 'NBarham@GrapevineTexasUSA.com', 'EMead@GrapevineTexasUSA.com', 'LDalton@GrapevineTexasUSA.com', 'DKlempin@GrapevineTexasUSA.com', 'EPellet@GrapevineTexasUSA.com', 'MSettle@GrapevineTexasUSA.com', 'MKeefover@GrapevineTexasUSA.com', 'PMcCallum@GrapevineTexasUSA.com', 'CJGardner@GrapevineTexasUSA.com', 'PNewman@GrapevineTexasUSA.com', 'KWebster@GrapevineTexasUSA.com', 'LLyons@GrapevineTexasUSA.com', 'BGentry@GrapevineTexasUSA.com', 'JEThompson@GrapevineTexasUSA.com', 'MMatthews@GrapevineTexasUSA.com', 'EGeorge@GrapevineTexasUSA.com', 'CAsh@GrapevineTexasUSA.com', 'TNichols@GrapevineTexasUSA.com', 'SWimberly@GrapevineTexasUSA.com', 'CMissimo@GrapevineTexasUSA.com', 'CRaible@GrapevineTexasUSA.com', 'MWinter@GrapevineTexasUSA.com', 'KPrack@GrapevineTexasUSA.com', 'ESchrack@GrapevineTexasUSA.com', 'JIngram@GrapevineTexasUSA.com', 'RLopez@GrapevineTexasUSA.com', 'TPatterson@GrapevineTexasUSA.com', 'DTaylor@GrapevineTexasUSA.com']","['817.410.3524', '800.457.6338', '817.410.3538', '817.410.3194', '817.410.3424', '817.410.3196', '817.410.3564', '817.410.3547', '817.410.3197', '817.410.3383', '817.410.3558', '817.410.3556', '817.410.3121', '817.410.3578', '817.410.3128', '817.410.3185', '817.410.3579', '817.410.3422', '817.410.3522', '817.410.3586', '817.410.3546', '817.410.3583', '817.410.3527', '817.410.3549', '817.410.3552', '817.410.3561', '817.410.3190', '817.410.3195', '817.410.3582', '817.410.3530', '817.410.3183', '817.410.3533', '817.410.3532', '817.410.3529', '817.410.3594', '817.410.3520', '817.410.3592', '817.410.3420', '817.410.3191', '817.410.3184', '817.410.3425', '817.410.3187', '817.410.3593', '817.410.3581', '817.410.3459', '817.410.3523', '817.410.3551']",https://www.grapevinetexasusa.com/listing/elegance-perfume/450/
https://www.premiumoutlets.com/outlet/allen/stores/perfumes-4u,['onlinesupport@shopsimon.com'],['(888) 605-2801'],https://www.premiumoutlets.com/outlet/allen/stores/perfumes-4u
https://perfumania.com/,['customer.service@perfumania.com'],"['3183867913', '3183900996', '(866) 557-2368']",https://perfumania.com/
